tfm	pack	assembly	file	kind	forwardsTo	version	publicTypes
net9.0	aspnetcore.app	Microsoft.AspNetCore.Diagnostics.Abstractions	Microsoft.AspNetCore.Diagnostics.Abstractions.dll	impl		9.0.0.0	9
net9.0	aspnetcore.app	Microsoft.AspNetCore.Diagnostics.HealthChecks	Microsoft.AspNetCore.Diagnostics.HealthChecks.dll	impl		9.0.0.0	4
net9.0	aspnetcore.app	Microsoft.AspNetCore.HostFiltering	Microsoft.AspNetCore.HostFiltering.dll	impl		9.0.0.0	4
net9.0	aspnetcore.app	Microsoft.AspNetCore.Hosting	Microsoft.AspNetCore.Hosting.dll	impl		9.0.0.0	15
net9.0	aspnetcore.app	Microsoft.AspNetCore.Hosting.Abstractions	Microsoft.AspNetCore.Hosting.Abstractions.dll	impl		9.0.0.0	16
net9.0	aspnetcore.app	Microsoft.AspNetCore.Hosting.Server.Abstractions	Microsoft.AspNetCore.Hosting.Server.Abstractions.dll	impl		9.0.0.0	6
net9.0	aspnetcore.app	Microsoft.AspNetCore.Html.Abstractions	Microsoft.AspNetCore.Html.Abstractions.dll	impl		9.0.0.0	8
net9.0	aspnetcore.app	Microsoft.AspNetCore.Http	Microsoft.AspNetCore.Http.dll	impl		9.0.0.0	42
net9.0	aspnetcore.app	Microsoft.AspNetCore.Http.Abstractions	Microsoft.AspNetCore.Http.Abstractions.dll	impl		9.0.0.0	90
net9.0	aspnetcore.app	Microsoft.AspNetCore.Http.Connections	Microsoft.AspNetCore.Http.Connections.dll	impl		9.0.0.0	12
net9.0	aspnetcore.app	Microsoft.AspNetCore.Http.Connections.Common	Microsoft.AspNetCore.Http.Connections.Common.dll	impl		9.0.0.0	5
net9.0	aspnetcore.app	Microsoft.AspNetCore.Http.Extensions	Microsoft.AspNetCore.Http.Extensions.dll	impl		9.0.0.0	25
net9.0	aspnetcore.app	Microsoft.AspNetCore.Http.Features	Microsoft.AspNetCore.Http.Features.dll	impl		9.0.0.0	46
net9.0	aspnetcore.app	Microsoft.AspNetCore.Http.Results	Microsoft.AspNetCore.Http.Results.dll	impl		9.0.0.0	47
net9.0	aspnetcore.app	Microsoft.AspNetCore.HttpLogging	Microsoft.AspNetCore.HttpLogging.dll	impl		9.0.0.0	11
net9.0	aspnetcore.app	Microsoft.AspNetCore.HttpOverrides	Microsoft.AspNetCore.HttpOverrides.dll	impl		9.0.0.0	13
net9.0	aspnetcore.app	Microsoft.AspNetCore.HttpsPolicy	Microsoft.AspNetCore.HttpsPolicy.dll	impl		9.0.0.0	8
net9.0	aspnetcore.app	Microsoft.AspNetCore.Identity	Microsoft.AspNetCore.Identity.dll	impl		9.0.0.0	32
net9.0	aspnetcore.app	Microsoft.AspNetCore.Localization	Microsoft.AspNetCore.Localization.dll	impl		9.0.0.0	15
net9.0	aspnetcore.app	Microsoft.AspNetCore.Localization.Routing	Microsoft.AspNetCore.Localization.Routing.dll	impl		9.0.0.0	1
net9.0	aspnetcore.app	Microsoft.AspNetCore.Metadata	Microsoft.AspNetCore.Metadata.dll	impl		9.0.0.0	2
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc	Microsoft.AspNetCore.Mvc.dll	impl		9.0.0.0	1
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Abstractions	Microsoft.AspNetCore.Mvc.Abstractions.dll	impl		9.0.0.0	123
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.ApiExplorer	Microsoft.AspNetCore.Mvc.ApiExplorer.dll	impl		9.0.0.0	8
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Core	Microsoft.AspNetCore.Mvc.Core.dll	impl		9.0.0.0	404
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Cors	Microsoft.AspNetCore.Mvc.Cors.dll	impl		9.0.0.0	2
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.DataAnnotations	Microsoft.AspNetCore.Mvc.DataAnnotations.dll	impl		9.0.0.0	11
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Formatters.Json	Microsoft.AspNetCore.Mvc.Formatters.Json.dll	facade	Microsoft.AspNetCore.Mvc.Core	9.0.0.0	0
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Formatters.Xml	Microsoft.AspNetCore.Mvc.Formatters.Xml.dll	impl		9.0.0.0	22
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Localization	Microsoft.AspNetCore.Mvc.Localization.dll	impl		9.0.0.0	12
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Razor	Microsoft.AspNetCore.Mvc.Razor.dll	impl		9.0.0.0	46
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.RazorPages	Microsoft.AspNetCore.Mvc.RazorPages.dll	impl		9.0.0.0	69
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.TagHelpers	Microsoft.AspNetCore.Mvc.TagHelpers.dll	impl		9.0.0.0	36
net9.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.ViewFeatures	Microsoft.AspNetCore.Mvc.ViewFeatures.dll	impl		9.0.0.0	136
net9.0	aspnetcore.app	Microsoft.AspNetCore.OutputCaching	Microsoft.AspNetCore.OutputCaching.dll	impl		9.0.0.0	12
net9.0	aspnetcore.app	Microsoft.AspNetCore.RateLimiting	Microsoft.AspNetCore.RateLimiting.dll	impl		9.0.0.0	9
net9.0	aspnetcore.app	Microsoft.AspNetCore.Razor	Microsoft.AspNetCore.Razor.dll	impl		9.0.0.0	20
net9.0	aspnetcore.app	Microsoft.AspNetCore.Razor.Runtime	Microsoft.AspNetCore.Razor.Runtime.dll	impl		9.0.0.0	13
